,,,Capacity,Capacity,rating,rating,rating
,,,count,sum,min,max,mean
Бесплатная,Восточный административный округ,Нижегородский район,1,6,8,8,8.0
Бесплатная,Восточный административный округ,район Богородское,2,14,8,10,9.0
Бесплатная,Восточный административный округ,район Вешняки,5,35,2,10,6.8
Бесплатная,Восточный административный округ,район Восточное Измайлово,1,8,6,6,6.0
Бесплатная,Восточный административный округ,район Гольяново,2,9,0,10,5.0
Бесплатная,Восточный административный округ,район Ивановское,2,16,4,7,5.5
Бесплатная,Восточный административный округ,район Измайлово,2,11,4,9,6.5
Бесплатная,Восточный административный округ,район Косино-Ухтомский,3,18,1,5,2.333333333333333
Бесплатная,Восточный административный округ,район Метрогородок,4,18,3,8,5.25
Бесплатная,Восточный административный округ,район Новогиреево,2,11,2,8,5.0
Бесплатная,Восточный административный округ,район Новокосино,1,1,8,8,8.0
Бесплатная,Восточный административный округ,район Перово,5,35,6,9,7.8
Бесплатная,Восточный административный округ,район Преображенское,3,21,0,8,3.333333333333333
Бесплатная,Восточный административный округ,район Северное Измайлово,1,1,1,1,1.0
Бесплатная,Восточный административный округ,район Соколиная Гора,4,16,0,3,1.75
Бесплатная,Восточный административный округ,район Сокольники,4,28,0,6,2.0
Бесплатная,Западный административный округ,Можайский район,1,8,9,9,9.0
Бесплатная,Западный административный округ,район Дорогомилово,1,8,9,9,9.0
Бесплатная,Западный административный округ,район Крылатское,2,18,4,4,4.0
Бесплатная,Западный административный округ,район Кунцево,1,10,4,4,4.0
Бесплатная,Западный административный округ,район Ново-Переделкино,4,26,7,10,8.5
Бесплатная,Западный административный округ,район Очаково-Матвеевское,1,6,5,5,5.0
Бесплатная,Западный административный округ,район Проспект Вернадского,2,9,3,4,3.5
Бесплатная,Западный административный округ,район Раменки,4,25,1,10,4.5
Бесплатная,Западный административный округ,район Солнцево,2,12,3,3,3.0
Бесплатная,Западный административный округ,район Тропарёво-Никулино,1,6,4,4,4.0
Бесплатная,Западный административный округ,район Филёвский Парк,1,10,10,10,10.0
